dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,22406,22406,53560,0,5,1899,9.5,4,7,2,-54.86857023834318,24,-56.0,248.0,304.0,0.8157894736842105,123.0,0.3333333333333333,-2.333333333333333,19.0,5,0,0
train,1,0,22406,22406,53560,0,5,1899,9.5,4,7,2,-15.75,9,-21.0,93.0,114.0,0.8157894736842105,83.0,0.3333333333333333,-2.333333333333333,19.0,4,0,0
test,1,0,22406,22406,53560,1,6,3178,8.75,4,7,2,-135.52664764621835,29,-151.0,248.0,399.0,0.6215538847117794,163.0,0.2758620689655172,-5.206896551724138,19.0,6,1,1
train,1,0,22406,22406,53560,1,6,3178,8.75,4,7,2,-7.462405778299649,11,-9.0,124.0,133.0,0.9323308270676692,83.0,0.3636363636363636,-0.8181818181818182,19.0,4,1,1
test,1,0,22406,22406,53560,2,7,200,10.0,3,4,12,-193.7925580499818,5,-260.0,16.0,276.0,0.0579710144927536,260.0,0.2,-52.0,69.0,3,2,2
train,1,0,22406,22406,53560,2,7,200,10.0,3,4,12,26.94438717061496,6,11.0,80.0,69.0,1.1594202898550725,69.0,0.8333333333333334,1.8333333333333333,69.0,1,2,2
test,1,0,22406,22406,53560,3,7,200,10.0,3,4,2,-44.7213595499958,5,-60.0,16.0,76.0,0.2105263157894736,60.0,0.2,-12.0,19.0,3,3,3
train,1,0,22406,22406,53560,3,7,200,10.0,3,4,2,31.843366656181317,6,26.0,64.0,38.0,1.6842105263157894,38.0,0.6666666666666666,4.333333333333333,19.0,2,3,3
test,1,0,22406,22406,53560,4,7,200,8.0,3,4,2,-38.141185089087095,11,-69.0,64.0,133.0,0.4812030075187969,117.0,0.3636363636363636,-6.2727272727272725,19.0,6,4,4
train,1,0,22406,22406,53560,4,7,200,8.0,3,4,2,59.69924622639719,11,36.0,112.0,76.0,1.4736842105263157,41.0,0.6363636363636364,3.272727272727273,19.0,2,4,4
test,1,0,22406,22406,53560,5,6,200,7.25,4,25,3,-50.17725525020719,13,-167.0,121.0,288.0,0.4201388888888889,288.0,0.0769230769230769,-12.846153846153848,24.0,12,5,5
train,1,0,22406,22406,53560,5,6,200,7.25,4,25,3,64.55633198997602,7,122.0,242.0,120.0,2.0166666666666666,120.0,0.2857142857142857,17.428571428571427,24.0,5,5,5
test,1,0,22406,22406,53560,6,6,200,8.0,3,20,2,-39.66106403010388,13,-132.0,96.0,228.0,0.4210526315789473,228.0,0.0769230769230769,-10.153846153846152,19.0,12,6,6
train,1,0,22406,22406,53560,6,6,200,8.0,3,20,2,109.17728701520296,8,193.0,288.0,95.0,3.031578947368421,95.0,0.375,24.125,19.0,5,6,6
test,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3,7,7
train,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1,7,7
test,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3,8,7
train,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1,8,7
test,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3,9,7
train,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1,9,7
test,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3,10,7
train,1,0,22406,22406,53560,7,7,669,6.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1,10,7
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,11,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,11,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,12,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,12,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,13,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,13,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,14,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,14,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,15,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,15,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,16,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,16,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,17,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,17,11
test,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,-34.01117949407977,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,18,11
train,1,0,22406,22406,53560,11,6,188,8.0,3,21,2,150.1463869029155,7,227.0,303.0,76.0,3.986842105263158,76.0,0.4285714285714285,32.42857142857143,19.0,4,18,11
