dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
train,1,0,22406,22406,53560,0,6,496,7.75,2,24,3,-4.6283352950392205,18,-12.0,348.0,360.0,0.9666666666666668,264.0,0.1666666666666666,-0.6666666666666666,24.0,11,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,0,6,496,7.75,2,24,3,-105.272823401573,39,-236.0,580.0,816.0,0.7107843137254902,340.0,0.1282051282051282,-6.051282051282051,24.0,14,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,1,6,448,5.0,2,9,2,130.28675638332888,23,163.0,410.0,247.0,1.6599190283400809,114.0,0.4347826086956521,7.086956521739131,19.0,6,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,1,6,448,5.0,2,9,2,-142.85424179911496,54,-486.0,369.0,855.0,0.431578947368421,549.0,0.1666666666666666,-9.0,19.0,25,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,2,6,448,5.0,3,19,2,53.60037313302959,17,117.0,364.0,247.0,1.4736842105263157,171.0,0.2352941176470588,6.882352941176471,19.0,9,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,2,6,448,5.0,3,19,2,-97.6,36,-244.0,364.0,608.0,0.5986842105263158,316.0,0.1111111111111111,-6.777777777777778,19.0,15,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,3,6,300,7.0,2,19,2,139.17427923290998,13,193.0,364.0,171.0,2.128654970760234,95.0,0.3076923076923077,14.846153846153848,19.0,5,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,3,6,300,7.0,2,19,2,-79.34782608695652,25,-365.0,91.0,456.0,0.1995614035087719,437.0,0.04,-14.6,19.0,23,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,4,6,448,8.75,1,9,2,185.0,25,185.0,451.0,266.0,1.6954887218045114,95.0,0.44,7.4,19.0,5,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,4,6,448,8.75,1,9,2,-195.6529932048064,54,-426.0,410.0,836.0,0.4904306220095694,489.0,0.1851851851851851,-7.888888888888889,19.0,16,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,5,6,281,6.25,3,9,2,251.7439175034821,15,195.0,328.0,133.0,2.4661654135338344,57.0,0.5333333333333333,13.0,19.0,3,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,5,6,281,6.25,3,9,2,-77.63157894736842,25,-295.0,123.0,418.0,0.2942583732057416,361.0,0.12,-11.8,19.0,19,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,6,6,300,6.25,2,9,2,571.050129148046,17,277.0,410.0,133.0,3.082706766917293,38.0,0.5882352941176471,16.294117647058822,19.0,2,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,6,6,300,6.25,2,9,2,-88.14664500099109,29,-311.0,164.0,475.0,0.3452631578947368,377.0,0.1379310344827586,-10.724137931034482,19.0,19,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,7,6,300,8.5,2,9,2,571.050129148046,17,277.0,410.0,133.0,3.082706766917293,38.0,0.5882352941176471,16.294117647058822,19.0,2,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,7,6,300,8.5,2,9,2,-75.11768544535079,24,-276.0,123.0,399.0,0.3082706766917293,342.0,0.125,-11.5,19.0,18,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,8,6,255,9.75,2,9,2,840.0934471831094,13,233.0,328.0,95.0,3.4526315789473685,19.0,0.6153846153846154,17.923076923076923,19.0,1,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,8,6,255,9.75,2,9,2,-82.00178637535893,19,-301.0,41.0,342.0,0.1198830409356725,304.0,0.0526315789473684,-15.842105263157896,19.0,16,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,9,6,300,8.75,2,9,2,571.050129148046,17,277.0,410.0,133.0,3.082706766917293,38.0,0.5882352941176471,16.294117647058822,19.0,2,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,9,6,300,8.75,2,9,2,-75.11768544535079,24,-276.0,123.0,399.0,0.3082706766917293,342.0,0.125,-11.5,19.0,18,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,10,6,300,7.5,2,9,2,571.050129148046,17,277.0,410.0,133.0,3.082706766917293,38.0,0.5882352941176471,16.294117647058822,19.0,2,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,10,6,300,7.5,2,9,2,-85.83993142565117,28,-292.0,164.0,456.0,0.3596491228070175,358.0,0.1428571428571428,-10.428571428571429,19.0,18,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,11,6,300,9.0,2,9,2,1025.21412397606,14,274.0,369.0,95.0,3.8842105263157896,19.0,0.6428571428571429,19.571428571428573,19.0,1,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,11,6,300,9.0,2,9,2,-84.18138268234503,20,-320.0,41.0,361.0,0.113573407202216,323.0,0.05,-16.0,19.0,17,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,12,6,300,9.0,2,9,2,1025.21412397606,14,274.0,369.0,95.0,3.8842105263157896,19.0,0.6428571428571429,19.571428571428573,19.0,1,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,12,6,300,9.0,2,9,2,-84.18138268234503,20,-320.0,41.0,361.0,0.113573407202216,323.0,0.05,-16.0,19.0,17,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,13,6,300,9.0,2,9,2,1025.21412397606,14,274.0,369.0,95.0,3.8842105263157896,19.0,0.6428571428571429,19.571428571428573,19.0,1,rolling,losing_streak_fitness,1_day,rep_1
test,1,0,22406,22406,53560,13,6,300,9.0,2,9,2,-84.18138268234503,20,-320.0,41.0,361.0,0.113573407202216,323.0,0.05,-16.0,19.0,17,rolling,losing_streak_fitness,1_day,rep_1
train,1,0,22406,22406,53560,14,6,300,9.0,2,9,2,1025.21412397606,14,274.0,369.0,95.0,3.8842105263157896,19.0,0.6428571428571429,19.571428571428573,19.0,1,rolling,losing_streak_fitness,1_day,rep_1
